,Star_name,Distance,Mass,Radius
0,54 Piscium,36.1,4,53
1,81 Cancri,66,0,2
2,AB Pictoris,66.6,0,13.5
3,CD−33°7795,163.08,0,20
4,CT Chamaeleontis,538,2.2,17
5,Eta Coronae Borealis,58.3,0,63
6,G 196-3,50.2,0,25
7,GD 165,103,0,132
8,Gliese 570,19,0,52
9,GU Piscium,155.3,0,11
10,HD 89744,126.2,0,64
11,HD 100546,337.25,0,21
12,HN Pegasi,58.3,1.01,28
13,LHS 4040 [es],,0,34
14,UScoCTIO 108,473,0,14
15,WD 0137-349,330,0,53
16,HD 41004 B,139,0,18.4
17,HD 149382,241,0,15.5
18,COROT-15,,1.12,63.4
19,Xi Ursae Majoris B,25.11,0,37
20,Upsilon Andromedae,43.9,0,13.98
21,Gliese 758,51.9,0,23
22,HD 112758,53.81,0,35
23,BD−04°782,66.6,0,21
24,HD 110833,55.44,0,17
25,HD 89707,81.54,0,54
26,Tau Geminorum,302,0,18.1
27,HAT-P-13,698,0,15.2
28,HD 217580,58.7,0,60
29,HD 16760,163,0,14.3
30,HD 13189,603.4,0,14
31,HD 18445,83.92,0,39
32,HD 8673,124.75,0,14
33,NGC 4349-127,7097,0,19.8
34,Gliese 569,31.5,0,116
35,HD 29587,146.77,0,40
36,ChaHα8,522,0,18
37,COROT-20,4000,0,17
38,HD 168443,123.5,0,34
39,HD 38529 A,138,0,37
40,Epsilon Indi,11.8,0,28
41,HW Virginis,590,0,19.23
42,DT Virginis,37.55,1.1,12.5
43,HD 4113,136,0,60
44,Gliese 229,19,0,40
45,TYC 9486-927-1,111,0,54
46,Epsilon Indi,11.8,0,47
47,HD 131664,180.8,0,18.15
48,HD 136118,171,0,42
49,HD 140913,156.42,0,46
50,GQ Lupi,400,1.8,75
51,HD 162020,101.95,0,15
52,Nu Ophiuchi,152.8,0,21.9
53,HD 164427,127.52,0,46
54,SCR 1845-6357,12.57,0,32
55,COROT-3,2220,1.01,21.66
56,15 Sagittae,57.7,0,65
57,Zeta Delphini,220,0,55
58,HD 202206,151.14,0,17.4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
